Township,Number_of_Households,Male,Female,Total(Male+Female),Immigration,Emigration,Birth,Death,Marriage,Divorce
Miaoli City,32517,42956,43362,86318,212,458,33,65,28,13
Yuanli Town,15204,22979,21040,44019,118,154,17,24,9,7
Tongxiao Town,11557,17034,15178,32212,73,113,5,33,3,3
Zhunan Town,32061,44069,43275,87344,410,392,31,59,35,11
Toufen City,38231,52858,52089,104947,363,404,39,69,31,19
Houlong Town,12147,18244,16274,34518,93,144,12,41,2,7
Zhuolan Town,5861,8206,7504,15710,29,51,1,11,2,0
Dahu Township,5206,7142,6238,13380,31,59,5,21,3,2
Gongguan Township,10842,16486,15159,31645,89,169,12,32,5,3
Tongluo Township,6106,8887,7890,16777,57,62,7,13,4,1
Nanzhuang Township,3846,5066,4136,9202,22,48,1,10,0,2
Touwu Township,3596,5289,4672,9961,59,53,2,11,4,4
Sanyi Township,5625,8097,7205,15302,47,63,3,12,3,5
Xihu Township,2617,3653,2866,6519,38,20,1,17,3,0
Zaoqiao Township,4144,6276,5545,11821,44,64,3,11,3,2
Sanwan Township,2331,3395,2832,6227,27,18,2,9,0,2
Shitan Township,1723,2300,1851,4151,28,10,1,4,0,0
Tai'an Township,1994,3085,2642,5727,36,26,2,8,4,1
